Assigment name,Assignment,Assignment Type,Author,Billable Hours,Category,Cost Center,Cost Center (Business Unit),Customer Responsible,Date,Employee Role,Entry Date,Hour Price,Hours Worked,Industry,Internal,Invoice Number,Invoiced,Invoicing Date,Margin,Non-Billable,Owner,Paid,Parent Company,Parent Company Home Country,Parent Company Industry,Parent Company Responsible,Parent Company Type,Payer,Payer Home Country,Payment Date,Principal,Principal Home Country,Principal Type,Responsible,Seller,Skill,Status (Registere,Tax Rate,Total,Transaction,Transaction Type,Transaction Type Englis,Transaction status (Ope,Type (Fe
 Osakekauppariita,1,Kilpailuoikeus,Helen Hakaniemi,7.5,,,,Helen Hakaniemi,2008-09-03,,2008-09-01,170.0,7.5,Muu,False,1,425.0,2008-09-03,395.0,False,Helen Hakaniemi,425.0,,,,,,AsuntoOy Ankka Linna,Suomi,2008-09-03,AsuntoOy Ankka Linna,Suomi,Prospect,Boris Keilaniemi,,,Maksettu,Alv 22 %,425.0,Esiintyminen oikeudessa / Toijalan käräjäoikeus,Esiintyminen oikeudessa,Court appearance,Maksettu,Palkkio
 Osakekauppariita,1,Kilpailuoikeus,Helen Hakaniemi,5.999999999999999,,,,Helen Hakaniemi,2008-09-03,,2008-09-02,170.0,5.999999999999999,Muu,False,1,340.0,2008-09-03,310.0,False,Helen Hakaniemi,339.99999999999994,,,,,,AsuntoOy Ankka Linna,Suomi,2008-09-03,AsuntoOy Ankka Linna,Suomi,Prospect,Boris Keilaniemi,,,Maksettu,Alv 22 %,340.0,Haastehakemus,Haastehakemuksen työstäminen,Writing a complaint,Maksettu,Palkkio
 Osakekauppariita,1,Kilpailuoikeus,Helen Hakaniemi,0.0,,,,Helen Hakaniemi,2008-09-03,,2008-09-02,,0.0,Muu,False,1,0.0,2008-09-03,,False,Helen Hakaniemi,0.0,,,,,,AsuntoOy Ankka Linna,Suomi,2008-09-03,AsuntoOy Ankka Linna,Suomi,Prospect,Boris Keilaniemi,,,Maksettu,Veroton,0.0,Kaupparekisteriote,Kaupparekisteriote,Trade register document,Maksettu,Kulu
 Osakekauppariita,1,Kilpailuoikeus,Helen Hakaniemi,1.5,,,,Helen Hakaniemi,2008-09-03,,2008-08-27,170.0,1.5,Muu,False,1,85.0,2008-09-03,70.0,False,Helen Hakaniemi,85.0,,,,,,AsuntoOy Ankka Linna,Suomi,2008-09-03,AsuntoOy Ankka Linna,Suomi,Prospect,Boris Keilaniemi,,,Maksettu,Alv 22 %,85.0,Puhelinneuvottelu,Puhelinneuvottelu,Phone meeting,Maksettu,Palkkio
 Osakekauppariita,1,Kilpailuoikeus,Helen Hakaniemi,9.0,,,,Helen Hakaniemi,2008-09-03,,2008-08-27,170.0,9.0,Muu,False,1,510.0,2008-09-03,480.0,False,Helen Hakaniemi,510.01,,,,,,AsuntoOy Ankka Linna,Suomi,2008-09-03,AsuntoOy Ankka Linna,Suomi,Prospect,Boris Keilaniemi,,,Maksettu,Alv 22 %,510.0,Toimeksiantoon perehtyminen,Tutkittu asiaa,Investigation,Maksettu,Palkkio
 Arviointipalvelu   Tontit,10,Arviointipalvelu - Tontit,Helen Hakaniemi,4.0,,Arviointipalvelu,Arviointipalvelu,Helen Hakaniemi,2010-01-27,,2008-09-11,170.0,3.0,Muu,False,20080088,170.0,2009-01-07,340.0,False,Boris Keilaniemi,170.0,,,,,,Arviointikeskus Oy,Suomi,2010-01-27,Arviointikeskus Oy,Suomi,Key customer,Helen Hakaniemi,,kiinteistön arviointi,Maksettu,Alv 22 %,340.0,Arviointi,Puhelinneuvottelu,Phone meeting,Maksettu,Palkkio
 Arviointipalvelu   Tontit,10,Arviointipalvelu - Tontit,Helen Hakaniemi,2.0,,Arviointipalvelu,,Helen Hakaniemi,2010-01-27,,2008-09-11,170.0,2.0,Muu,False,20080088,85.0,2009-01-07,140.0,False,Boris Keilaniemi,85.0,,,,,,Arviointikeskus Oy,Suomi,2010-01-27,Arviointikeskus Oy,Suomi,Key customer,Helen Hakaniemi,,juridiikka,Maksettu,Alv 22 %,170.0,Dokumentin laadinta arvioinnista,Perintäkirjeen laatiminen vastapuolelle,Writing a debt collection letter to counterpart,Maksettu,Palkkio
 Arviointipalvelu   Tontit,10,Arviointipalvelu - Tontit,Helen Hakaniemi,0.0,,Arviointipalvelu,,Helen Hakaniemi,2010-01-27,,2008-09-09,,0.0,Muu,False,20080088,154.0,2009-01-07,,False,Boris Keilaniemi,154.0,,,,,,Arviointikeskus Oy,Suomi,2010-01-27,Arviointikeskus Oy,Suomi,Key customer,Helen Hakaniemi,,,Maksettu,Alv 22 %,308.0,Km-korvaus HKI-Rauma-HKi,Kilometrikorvaus,Mileage allowance,Maksettu,Kulu
 Arviointipalvelu   Tontit,10,Arviointipalvelu - Tontit,Helen Hakaniemi,4.0,,Arviointipalvelu,,Helen Hakaniemi,2010-01-27,,2008-09-09,170.0,4.0,Muu,False,20080088,170.0,2009-01-07,310.0,False,Boris Keilaniemi,170.0,,,,,,Arviointikeskus Oy,Suomi,2010-01-27,Arviointikeskus Oy,Suomi,Key customer,Helen Hakaniemi,,maan arviointi,Maksettu,Alv 22 %,340.0,Maa-alueen arviointi,Puhelinneuvottelu,Phone meeting,Maksettu,Palkkio
 Arviointipalvelu   Tontit,10,Arviointipalvelu - Tontit,Helen Hakaniemi,0.0,,Arviointipalvelu,,Helen Hakaniemi,2010-01-27,,2008-09-10,,0.0,Muu,False,20080088,150.0,2009-01-07,,False,Boris Keilaniemi,150.0,,,,,,Arviointikeskus Oy,Suomi,2010-01-27,Arviointikeskus Oy,Suomi,Key customer,Helen Hakaniemi,,,Maksettu,Alv 22 %,300.0,Matkustukseen käytetty aika,Matkustukseen käytetty aika,Travel time,Maksettu,Kulu
