Responsible,Assignment Type,Hour Price
Boris Keilaniemi,Arviointipalvelu - Asuinhuoneistot,170.0
Boris Keilaniemi,Arviointipalvelu - Tontit,100.0
Boris Keilaniemi,Edunvalvontapalvelu - Korvausneuvottelut,170.0
Boris Keilaniemi,Edunvalvontapalvelu - Maantiet,170.0
Boris Keilaniemi,Hallintoasia,153.47826086956522
Boris Keilaniemi,Kilpailuoikeus,170.0
Boris Keilaniemi,Konsultointia,180.0
Boris Keilaniemi,Perintöoikeus,170.0
Boris Keilaniemi,Rahoitusoikeus,137.14285714285714
Boris Keilaniemi,Rikosoikeus,380.0
Boris Keilaniemi,Sopimusoikeus,196.66666666666666
Boris Keilaniemi,Velkomusasia,210.0
Elias Muonio,Hallintoasia,131.75
Helen Hakaniemi,Arviointipalvelu - Tontit,250.0
Helen Hakaniemi,Hallintoasia,132.75862068965517
Helen Hakaniemi,Kilpailuoikeus,168.17564705882353
Helen Hakaniemi,Konsultointia,177.5
Helen Hakaniemi,Perheoikeus,231.25
Helen Hakaniemi,Perintöoikeus,147.09677419354838
Helen Hakaniemi,Rahoitusoikeus,151.25
Helen Hakaniemi,Rikosoikeus,255.22012641509434
Helen Hakaniemi,Sopimusoikeus,155.0
Helen Hakaniemi,Työoikeus,160.625
Helen Hakaniemi,Vero-oikeus,170.0
Helen Hakaniemi,Yritysoikeus,157.85714285714286
Jari London,Hallintoasia,150.0
Jari London,Konsultointia,172.0
Jari London,Perintöoikeus,185.0
Jopi Jalkapuoli,Arviointipalvelu - Tontit,170.0
Jopi Jalkapuoli,Hallintoasia,167.14285714285714
Jopi Jalkapuoli,Kilpailuoikeus,170.0
Jopi Jalkapuoli,Perheoikeus,172.5
Jopi Jalkapuoli,Perintöoikeus,146.965
Jopi Jalkapuoli,Työoikeus,175.55555555555554
Jopi Jalkapuoli,Yritysoikeus,179.74823529411765
Kaapo Koivusaari,Konsultointia,180.0
Kati Alley,Hallintoasia,225.0
Kati Alley,Kilpailuoikeus,300.0
Kati Alley,Konsultointia,189.92744
Kati Alley,Namin teko,300.0
Kati Alley,Perheoikeus,261.42857142857144
Kati Alley,Perintöoikeus,300.0
Kati Alley,Rahoitusoikeus,250.0
Kati Alley,Rikosoikeus,135.0
Kustaa Kulosaari,Arviointipalvelu - Asuinhuoneistot,170.0
Kustaa Kulosaari,Hallintoasia,143.33333333333334
Kustaa Kulosaari,Kertaluottopäätös,85.0
Kustaa Kulosaari,Konsultointia,172.5
Kustaa Kulosaari,Perheoikeus,170.0
Kustaa Kulosaari,Perintöoikeus,182.35294117647058
Kustaa Kulosaari,Rahoitusoikeus,185.0
Kustaa Kulosaari,Velkomusasia,172.66666666666666
Lenita Lauttasaari,Hallintoasia,170.0
Lenita Lauttasaari,Perheoikeus,177.5
Lenita Lauttasaari,Perintöoikeus,180.0
Lenita Lauttasaari,Työoikeus,222.5
Marika Monroe,Hallintoasia,249.42222222222225
Mikko Tavastia,Rikosoikeus,100.0
Nelli Niittykumpu,Arviointipalvelu - Asuinhuoneistot,170.0
Nelli Niittykumpu,Arviointipalvelu - Tontit,142.5
Nelli Niittykumpu,Edunvalvontapalvelu - Korvausneuvottelut,170.0
Nelli Niittykumpu,Edunvalvontapalvelu - Maantiet,300.0
Nelli Niittykumpu,Hallintoasia,185.375
Nelli Niittykumpu,Jatkuva luottopäätös,170.0
Nelli Niittykumpu,Kilpailuoikeus,168.0
Nelli Niittykumpu,Konsultointia,136.0
Nelli Niittykumpu,Perheoikeus,166.66666666666666
Nelli Niittykumpu,Rahoitusoikeus,170.0
Nelli Niittykumpu,Rikosoikeus,176.0
Nelli Niittykumpu,Sopimusoikeus,190.0
Nelli Niittykumpu,Työoikeus,120.0
Nelli Niittykumpu,Velkomusasia,132.85714285714286
Nelli Niittykumpu,Yritysoikeus,170.0
Seppo Sörnäinen,Hallintoasia,182.5
Seppo Sörnäinen,Perheoikeus,170.0
Viivi Vuosaari,Arviointipalvelu - Asuinhuoneistot,670.0
Viivi Vuosaari,Arviointipalvelu - Tontit,168.0
Viivi Vuosaari,Hallintoasia,163.75
Viivi Vuosaari,Kilpailuoikeus,159.44818181818184
Viivi Vuosaari,Konsultointia,176.0
Viivi Vuosaari,Perheoikeus,162.0
Viivi Vuosaari,Perintöoikeus,170.0
Viivi Vuosaari,Rahoitusoikeus,172.5
Viivi Vuosaari,Rikosoikeus,147.85714285714286
Viivi Vuosaari,Sopimusoikeus,185.0
Yki Kontula,Arviointipalvelu - Asuinhuoneistot,200.0
Yki Kontula,Hallintoasia,141.66666666666666
Yki Kontula,Kilpailuoikeus,168.54545454545453
Yki Kontula,Perheoikeus,136.0
Yki Kontula,Perintöoikeus,170.0
Yki Kontula,Rikosoikeus,182.0
